Soil texture,Rainfall,SPI,TWI,Distance to river,Aspect,NDVI,Land cover,Profile curvature,Plan curvature,Slope,Altitude,Lithology,Flood
9,339.21600000000,243.59300000000,3.66020000000,161.55500000000,261.46900000000,0.10368500000,5,-0.22222200000,0.88888900000,9.56624000000,1178,9,1.00000000000
9,338.95600000000,83.71170000000,5.35740000000,456.94600000000,198.43500000000,0.10489900000,5,-0.31410300000,0.13034200000,3.76924000000,1221,9,1.00000000000
9,336.50200000000,1209.97000000000,4.25550000000,870.00000000000,237.09500000000,0.13972200000,5,0.08333330000,0.08333330000,4.82254000000,1115,9,1.00000000000
7,334.40700000000,5600.80000000000,4.51370000000,30.00000000000,293.86000000000,0.13312300000,5,0.05513510000,0.38846800000,25.35290000000,1010,9,1.00000000000
9,334.09100000000,1437.32000000000,4.64010000000,30.00000000000,243.43500000000,0.10621500000,2,0.40000000000,-0.26666700000,4.26269000000,992,9,1.00000000000
9,333.72400000000,293.37900000000,4.79150000000,42.42640000000,252.40800000000,0.05771270000,2,-0.56701000000,-0.01145480000,10.16040000000,996,9,1.00000000000
9,332.50200000000,794.92300000000,3.20180000000,999.05000000000,42.27370000000,0.13348200000,5,-0.33333300000,0.33333300000,20.38770000000,1158,9,1.00000000000
9,332.19700000000,456.03000000000,4.00890000000,766.61600000000,299.05500000000,0.12187200000,5,0.53333300000,-1.35556000000,2.45639000000,1152,9,1.00000000000
9,331.44800000000,671.48900000000,5.22750000000,216.33300000000,292.38000000000,0.10978600000,5,0.20000000000,-0.13333300000,4.38049000000,1070,9,1.00000000000
7,331.67800000000,144.92900000000,6.72290000000,642.02800000000,198.43500000000,0.20504500000,3,0.04444440000,-0.06666670000,2.26364000000,965,1,1.00000000000
